Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Non-Penalty Goals,0.63,92.0
npxG: Non-Penalty xG,0.62,94.0
Shots Total,3.42,88.0
Assists,0.10,34.0
xAG: Exp. Assisted Goals,0.10,39.0
npxG + xAG,0.72,92.0
Shot-Creating Actions,2.34,48.0
,,
Passes Attempted,12.53,6.0
Pass Completion %,66.9%,34.0
Progressive Passes,0.66,1.0
Progressive Carries,0.79,12.0
Successful Take-Ons,0.43,26.0
Touches (Att Pen),6.25,90.0
Progressive Passes Rec,4.08,26.0
,,
Tackles,0.36,12.0
Interceptions,0.16,39.0
Blocks,0.39,23.0
Clearances,0.76,39.0
Aerials Won,1.88,61.0
